"",8.000
54649.0000,9.0097E+01
54650.0000,2.4269E+01
54651.0000,1.7083E+01
54652.0000,9.4774E+01
54653.0000,1.1220E+02
54654.0000,1.0041E+02
54655.0000,1.0838E+02
54656.0000,5.7799E+00
54657.0000,7.7012E+01
54658.0000,6.0155E+01
54659.0000,4.5961E+01
54660.0000,6.0287E+01
54661.0000,3.3199E+01
54662.0000,1.1814E+02
54663.0000,6.4834E+01
54664.0000,8.8864E+01
54665.0000,1.1600E+02
54666.0000,1.0153E+02
54667.0000,1.2157E+02
54668.0000,1.1649E+02
54669.0000,1.0329E+02
54670.0000,7.0530E+01
54671.0000,8.1939E+01
54672.0000,5.0203E+01
54673.0000,3.8455E+01
54674.0000,1.6996E+01
54675.0000,6.5619E+01
54676.0000,8.7766E+01
54677.0000,6.4984E+01
54678.0000,7.3388E+01
54679.0000,4.5555E+01
54680.0000,6.6318E+01
54681.0000,7.4785E+01
54682.0000,7.4916E+01
54683.0000,2.9983E+01
54684.0000,8.7558E+01
54685.0000,4.4428E+01
54686.0000,2.2492E+01
54687.0000,3.5633E+00
54688.0000,2.8713E+01
54689.0000,5.5273E+01
54690.0000,7.5575E+01
54691.0000,7.6606E+01
54692.0000,7.4161E+01
54693.0000,6.6917E+01
54694.0000,3.5903E+01
54695.0000,1.6567E+01
54696.0000,2.1936E+00
54697.0000,4.8944E+00
54698.0000,1.3729E+01
54699.0000,1.6567E+00
54700.0000,5.2911E+01
54701.0000,5.1555E+01
54702.0000,4.6527E+01
54703.0000,5.0995E+01
54704.0000,5.4579E+01
54705.0000,4.7071E+01
54706.0000,3.0834E+01
54707.0000,4.7923E+01
54708.0000,4.7465E+01
54709.0000,4.6758E+01
54710.0000,4.4435E+01
54711.0000,2.0370E+01
54712.0000,2.7251E+01
54713.0000,3.4732E+01
54714.0000,3.5706E+01
54715.0000,3.7963E+01
54716.0000,3.3147E+01
54717.0000,3.1778E+01
54718.0000,3.4110E+01
54719.0000,2.6496E+01
54720.0000,1.4074E+00
54721.0000,1.5210E+01
54722.0000,5.3607E+00
54723.0000,5.2255E+00
54724.0000,1.7714E+01
54725.0000,2.2964E+01
54726.0000,3.1739E+00
54727.0000,1.7573E+01
54728.0000,2.1587E+01
54729.0000,2.0948E+01
54730.0000,2.1266E+01
54731.0000,2.0605E+01
54732.0000,1.5777E+01
54733.0000,1.5389E+01
54734.0000,3.1846E+00
54735.0000,6.0370E+00
54736.0000,1.5450E+00
54737.0000,2.3513E+00
54738.0000,3.8899E+00
54739.0000,4.2979E+00
54740.0000,4.2846E+00
54741.0000,3.7278E+00
54742.0000,3.3628E+00
54743.0000,3.4376E+00
54744.0000,2.1872E+00
54745.0000,2.2118E+00
54746.0000,2.6991E+00
54747.0000,2.6645E+00
54748.0000,2.2653E+00
54749.0000,2.6914E+00
54750.0000,2.0760E+00
54751.0000,1.7798E+00
54752.0000,1.6043E+00
54753.0000,2.1084E+00
54754.0000,1.9994E+00
54755.0000,1.9922E+00
54756.0000,1.7582E+00
54757.0000,1.6480E+00
54758.0000,1.5376E+00
54759.0000,9.7194E-01
54760.0000,1.4405E+00
54761.0000,1.4505E+00
54762.0000,8.9500E-01
54763.0000,1.3629E+00
54764.0000,9.2422E-01
54765.0000,1.0156E+00
54766.0000,1.2135E+00
54767.0000,1.0860E+00
54768.0000,1.0797E+00
54769.0000,1.0451E+00
54770.0000,8.7626E-01
54771.0000,8.8166E-01
54772.0000,5.9191E-01
54773.0000,4.8914E-01
54774.0000,6.0869E-01
54775.0000,6.3544E-01
54776.0000,7.3755E-01
54777.0000,6.6810E-01
54778.0000,6.8596E-01
54779.0000,8.5022E-01
54780.0000,7.1243E-01
54781.0000,6.4277E-01
54782.0000,5.7878E-01
54783.0000,6.5043E-01
54784.0000,6.4461E-01
54785.0000,5.7775E-01
54786.0000,9.6909E-01
