"",8.000
54608.0000,3.2798E+02
54609.0000,3.4604E+02
54610.0000,3.0943E+02
54611.0000,3.3572E+02
54612.0000,3.4708E+02
54613.0000,3.2523E+02
54614.0000,3.6361E+02
54615.0000,3.2192E+02
54616.0000,3.5584E+02
54617.0000,3.5119E+02
54618.0000,3.3221E+02
54619.0000,3.0794E+02
54620.0000,3.4681E+02
54621.0000,3.4454E+02
54622.0000,3.5058E+02
54623.0000,3.1620E+02
54624.0000,2.8782E+02
54625.0000,3.0722E+02
54626.0000,3.1456E+02
54627.0000,3.4638E+02
54628.0000,3.1040E+02
54629.0000,3.2496E+02
54630.0000,3.4556E+02
54631.0000,3.5827E+02
54632.0000,3.4442E+02
54633.0000,3.4553E+02
54634.0000,3.2165E+02
54635.0000,3.1988E+02
54636.0000,3.2272E+02
54637.0000,3.5168E+02
54638.0000,3.4064E+02
54639.0000,3.1860E+02
54640.0000,3.3269E+02
54641.0000,3.3364E+02
54642.0000,3.2805E+02
54643.0000,3.4798E+02
54644.0000,3.2945E+02
54645.0000,3.6630E+02
54646.0000,3.2146E+02
54647.0000,3.2798E+02
54648.0000,3.3292E+02
54649.0000,3.4932E+02
54650.0000,3.5711E+02
54651.0000,3.5244E+02
54652.0000,3.3791E+02
54653.0000,3.3405E+02
54654.0000,3.1623E+02
54655.0000,3.1355E+02
54656.0000,3.4964E+02
54657.0000,3.2333E+02
54658.0000,3.1665E+02
54659.0000,3.2488E+02
54660.0000,3.1312E+02
54661.0000,3.1006E+02
54662.0000,2.8454E+02
54663.0000,3.0414E+02
54664.0000,3.0388E+02
54665.0000,2.8787E+02
54666.0000,2.8952E+02
54667.0000,2.7209E+02
54668.0000,2.8635E+02
54669.0000,3.0362E+02
54670.0000,3.2043E+02
54671.0000,3.1770E+02
54672.0000,3.2160E+02
54673.0000,3.2772E+02
54674.0000,3.4754E+02
54675.0000,3.1809E+02
54676.0000,3.0618E+02
54677.0000,3.1484E+02
54678.0000,2.8701E+02
54679.0000,2.9776E+02
54680.0000,2.9152E+02
54681.0000,2.7901E+02
54682.0000,2.7749E+02
54683.0000,2.9675E+02
54684.0000,2.6450E+02
54685.0000,3.0933E+02
54686.0000,3.3412E+02
54687.0000,3.2491E+02
54688.0000,3.0420E+02
54689.0000,2.8830E+02
54690.0000,2.5226E+02
54691.0000,2.4249E+02
54692.0000,2.4766E+02
54693.0000,2.6082E+02
54694.0000,2.9655E+02
54695.0000,3.0354E+02
54696.0000,3.1276E+02
54697.0000,3.1989E+02
54698.0000,3.1801E+02
54699.0000,3.2581E+02
54700.0000,2.7899E+02
54701.0000,2.7121E+02
54702.0000,2.7039E+02
54703.0000,2.4882E+02
54704.0000,2.4114E+02
54705.0000,2.5114E+02
54706.0000,2.6221E+02
54707.0000,2.4590E+02
54708.0000,2.3345E+02
54709.0000,2.3468E+02
54710.0000,2.4730E+02
54711.0000,2.9192E+02
54712.0000,2.8194E+02
54713.0000,2.4539E+02
54714.0000,2.3590E+02
54715.0000,2.3531E+02
54716.0000,2.4561E+02
54717.0000,2.4123E+02
54718.0000,2.3251E+02
54719.0000,2.5081E+02
54720.0000,2.9628E+02
54721.0000,2.6830E+02
54722.0000,2.8560E+02
54723.0000,2.9168E+02
54724.0000,2.7802E+02
54725.0000,2.5400E+02
54726.0000,2.8650E+02
54727.0000,2.6615E+02
54728.0000,2.4318E+02
54729.0000,2.4035E+02
54730.0000,0.0000E+00
54731.0000,0.0000E+00
54732.0000,0.0000E+00
54733.0000,0.0000E+00
54734.0000,0.0000E+00
54735.0000,0.0000E+00
54736.0000,0.0000E+00
54737.0000,0.0000E+00
54738.0000,0.0000E+00
54739.0000,0.0000E+00
54740.0000,0.0000E+00
54741.0000,0.0000E+00
54742.0000,0.0000E+00
54743.0000,0.0000E+00
54744.0000,0.0000E+00
54745.0000,0.0000E+00
54746.0000,0.0000E+00
54747.0000,0.0000E+00
54748.0000,0.0000E+00
54749.0000,0.0000E+00
54750.0000,0.0000E+00
54751.0000,0.0000E+00
54752.0000,0.0000E+00
54753.0000,0.0000E+00
54754.0000,0.0000E+00
54755.0000,0.0000E+00
54756.0000,0.0000E+00
54757.0000,0.0000E+00
54758.0000,0.0000E+00
54759.0000,0.0000E+00
54760.0000,0.0000E+00
54761.0000,0.0000E+00
54762.0000,0.0000E+00
54763.0000,0.0000E+00
54764.0000,0.0000E+00
54765.0000,0.0000E+00
54766.0000,0.0000E+00
54767.0000,0.0000E+00
54768.0000,0.0000E+00
54769.0000,0.0000E+00
54770.0000,0.0000E+00
54771.0000,0.0000E+00
54772.0000,0.0000E+00
54773.0000,0.0000E+00
54774.0000,0.0000E+00
54775.0000,0.0000E+00
54776.0000,0.0000E+00
54777.0000,0.0000E+00
54778.0000,0.0000E+00
54779.0000,0.0000E+00
54780.0000,0.0000E+00
54781.0000,0.0000E+00
54782.0000,0.0000E+00
54783.0000,0.0000E+00
54784.0000,0.0000E+00
54785.0000,0.0000E+00
54786.0000,0.0000E+00
