"",8.000
54640.0000,-3.0042E+01
54641.0000,-3.3694E+01
54642.0000,-4.8455E+01
54643.0000,-5.1026E+01
54644.0000,-4.1123E+01
54645.0000,-3.1594E+01
54646.0000,-2.3304E+01
54647.0000,-4.2763E+01
54648.0000,-5.6466E+01
54649.0000,-5.3996E+01
54650.0000,-5.6331E+01
54651.0000,-4.8206E+01
54652.0000,-4.3620E+01
54653.0000,-4.6159E+01
54654.0000,-7.1006E+01
54655.0000,-5.7390E+01
54656.0000,-4.9553E+01
54657.0000,-5.6484E+01
54658.0000,-4.0062E+01
54659.0000,-4.1482E+01
54660.0000,-3.8348E+01
54661.0000,-3.7936E+01
54662.0000,-4.5028E+01
54663.0000,-4.5415E+01
54664.0000,-2.8648E+01
54665.0000,-4.0207E+01
54666.0000,-4.7396E+01
54667.0000,-4.2045E+01
54668.0000,-3.1329E+01
54669.0000,-2.7752E+01
54670.0000,-3.2358E+01
54671.0000,-3.6560E+01
54672.0000,-3.2724E+01
54673.0000,-2.7494E+01
54674.0000,-1.4693E+01
54675.0000,-1.1873E+01
54676.0000,-2.9526E+01
54677.0000,-3.8569E+01
54678.0000,-4.7875E+01
54679.0000,-3.8035E+01
54680.0000,-2.9597E+01
54681.0000,-2.5938E+01
54682.0000,-2.4853E+01
54683.0000,-2.7498E+01
54684.0000,-3.3792E+01
54685.0000,-2.0729E+01
54686.0000,-2.6199E+00
54687.0000,-9.7637E+00
54688.0000,-4.1511E+01
54689.0000,-3.7011E+01
54690.0000,-3.5421E+01
54691.0000,-3.9871E+01
54692.0000,-2.8548E+01
54693.0000,-2.2320E+01
54694.0000,-2.1720E+01
54695.0000,-2.4402E+01
54696.0000,-1.2073E+01
54697.0000,1.0576E+00
54698.0000,2.7840E+00
54699.0000,1.3390E+01
54700.0000,-3.0893E+00
54701.0000,-1.1313E+01
54702.0000,-1.1163E+01
54703.0000,-1.6368E+01
54704.0000,-1.8937E+01
54705.0000,-1.8416E+01
54706.0000,-1.8058E+01
54707.0000,-2.1012E+01
54708.0000,-2.6244E+01
54709.0000,-2.4871E+01
54710.0000,-2.0235E+01
54711.0000,-1.7758E+00
54712.0000,-4.8429E+00
54713.0000,-3.0259E+01
54714.0000,-2.4151E+01
54715.0000,-1.9114E+01
54716.0000,-1.5307E+01
54717.0000,-1.8887E+01
54718.0000,-1.2459E+01
54719.0000,-1.0136E+01
54720.0000,1.7407E+00
54721.0000,5.0280E+00
54722.0000,6.2792E+00
54723.0000,1.5075E+01
54724.0000,6.9944E+00
54725.0000,-9.1282E-01
54726.0000,6.2323E+00
54727.0000,6.1418E+00
54728.0000,-6.8363E+00
54729.0000,-3.4858E+00
54730.0000,0.0000E+00
54731.0000,0.0000E+00
54732.0000,0.0000E+00
54733.0000,0.0000E+00
54734.0000,0.0000E+00
54735.0000,0.0000E+00
54736.0000,0.0000E+00
54737.0000,0.0000E+00
54738.0000,0.0000E+00
54739.0000,0.0000E+00
54740.0000,0.0000E+00
54741.0000,0.0000E+00
54742.0000,0.0000E+00
54743.0000,0.0000E+00
54744.0000,0.0000E+00
54745.0000,0.0000E+00
54746.0000,0.0000E+00
54747.0000,0.0000E+00
54748.0000,0.0000E+00
54749.0000,0.0000E+00
54750.0000,0.0000E+00
54751.0000,0.0000E+00
54752.0000,0.0000E+00
54753.0000,0.0000E+00
54754.0000,0.0000E+00
54755.0000,0.0000E+00
54756.0000,0.0000E+00
54757.0000,0.0000E+00
54758.0000,0.0000E+00
54759.0000,0.0000E+00
54760.0000,0.0000E+00
54761.0000,0.0000E+00
54762.0000,0.0000E+00
54763.0000,0.0000E+00
54764.0000,0.0000E+00
54765.0000,0.0000E+00
54766.0000,0.0000E+00
54767.0000,0.0000E+00
54768.0000,0.0000E+00
54769.0000,0.0000E+00
54770.0000,0.0000E+00
54771.0000,0.0000E+00
54772.0000,0.0000E+00
54773.0000,0.0000E+00
54774.0000,0.0000E+00
54775.0000,0.0000E+00
54776.0000,0.0000E+00
54777.0000,0.0000E+00
54778.0000,0.0000E+00
54779.0000,0.0000E+00
54780.0000,0.0000E+00
54781.0000,0.0000E+00
54782.0000,0.0000E+00
54783.0000,0.0000E+00
54784.0000,0.0000E+00
54785.0000,0.0000E+00
54786.0000,0.0000E+00
