"",8.000
54585.0000,0.0000E+00
54586.0000,0.0000E+00
54587.0000,0.0000E+00
54588.0000,0.0000E+00
54589.0000,0.0000E+00
54590.0000,0.0000E+00
54591.0000,0.0000E+00
54592.0000,0.0000E+00
54593.0000,0.0000E+00
54594.0000,0.0000E+00
54595.0000,0.0000E+00
54596.0000,0.0000E+00
54597.0000,0.0000E+00
54598.0000,0.0000E+00
54599.0000,0.0000E+00
54600.0000,0.0000E+00
54601.0000,0.0000E+00
54602.0000,0.0000E+00
54603.0000,0.0000E+00
54604.0000,0.0000E+00
54605.0000,0.0000E+00
54606.0000,0.0000E+00
54607.0000,0.0000E+00
54608.0000,0.0000E+00
54609.0000,0.0000E+00
54610.0000,0.0000E+00
54611.0000,0.0000E+00
54612.0000,0.0000E+00
54613.0000,0.0000E+00
54614.0000,0.0000E+00
54615.0000,0.0000E+00
54616.0000,0.0000E+00
54617.0000,0.0000E+00
54618.0000,0.0000E+00
54619.0000,0.0000E+00
54620.0000,0.0000E+00
54621.0000,0.0000E+00
54622.0000,0.0000E+00
54623.0000,0.0000E+00
54624.0000,0.0000E+00
54625.0000,0.0000E+00
54626.0000,0.0000E+00
54627.0000,0.0000E+00
54628.0000,0.0000E+00
54629.0000,0.0000E+00
54630.0000,0.0000E+00
54631.0000,0.0000E+00
54632.0000,0.0000E+00
54633.0000,0.0000E+00
54634.0000,0.0000E+00
54635.0000,0.0000E+00
54636.0000,0.0000E+00
54637.0000,0.0000E+00
54638.0000,0.0000E+00
54639.0000,0.0000E+00
54640.0000,0.0000E+00
54641.0000,0.0000E+00
54642.0000,0.0000E+00
54643.0000,0.0000E+00
54644.0000,0.0000E+00
54645.0000,0.0000E+00
54646.0000,0.0000E+00
54647.0000,0.0000E+00
54648.0000,0.0000E+00
54649.0000,0.0000E+00
54650.0000,0.0000E+00
54651.0000,0.0000E+00
54652.0000,0.0000E+00
54653.0000,0.0000E+00
54654.0000,0.0000E+00
54655.0000,0.0000E+00
54656.0000,0.0000E+00
54657.0000,0.0000E+00
54658.0000,0.0000E+00
54659.0000,0.0000E+00
54660.0000,0.0000E+00
54661.0000,0.0000E+00
54662.0000,0.0000E+00
54663.0000,0.0000E+00
54664.0000,0.0000E+00
54665.0000,0.0000E+00
54666.0000,0.0000E+00
54667.0000,0.0000E+00
54668.0000,0.0000E+00
54669.0000,0.0000E+00
54670.0000,0.0000E+00
54671.0000,0.0000E+00
54672.0000,0.0000E+00
54673.0000,0.0000E+00
54674.0000,0.0000E+00
54675.0000,0.0000E+00
54676.0000,0.0000E+00
54677.0000,0.0000E+00
54678.0000,0.0000E+00
54679.0000,0.0000E+00
54680.0000,0.0000E+00
54681.0000,0.0000E+00
54682.0000,0.0000E+00
54683.0000,0.0000E+00
54684.0000,0.0000E+00
54685.0000,0.0000E+00
54686.0000,0.0000E+00
54687.0000,0.0000E+00
54688.0000,0.0000E+00
54689.0000,0.0000E+00
54690.0000,0.0000E+00
54691.0000,0.0000E+00
54692.0000,0.0000E+00
54693.0000,0.0000E+00
54694.0000,0.0000E+00
54695.0000,0.0000E+00
54696.0000,0.0000E+00
54697.0000,0.0000E+00
54698.0000,0.0000E+00
54699.0000,0.0000E+00
54700.0000,0.0000E+00
54701.0000,0.0000E+00
54702.0000,0.0000E+00
54703.0000,0.0000E+00
54704.0000,0.0000E+00
54705.0000,0.0000E+00
54706.0000,0.0000E+00
54707.0000,0.0000E+00
54708.0000,0.0000E+00
54709.0000,0.0000E+00
54710.0000,0.0000E+00
54711.0000,0.0000E+00
54712.0000,0.0000E+00
54713.0000,0.0000E+00
54714.0000,0.0000E+00
54715.0000,0.0000E+00
54716.0000,0.0000E+00
54717.0000,0.0000E+00
54718.0000,0.0000E+00
54719.0000,3.8532E-03
54720.0000,0.0000E+00
54721.0000,0.0000E+00
54722.0000,0.0000E+00
54723.0000,0.0000E+00
54724.0000,0.0000E+00
54725.0000,0.0000E+00
54726.0000,0.0000E+00
54727.0000,0.0000E+00
54728.0000,0.0000E+00
54729.0000,7.4184E-04
54730.0000,4.4905E-03
54731.0000,1.3428E-02
54732.0000,2.9331E-02
54733.0000,4.7098E-02
54734.0000,6.0529E-02
54735.0000,7.9326E-02
54736.0000,8.3632E-02
54737.0000,8.6640E-02
54738.0000,9.4334E-02
54739.0000,1.0340E-01
54740.0000,1.2139E-01
54741.0000,1.3909E-01
54742.0000,1.6097E-01
54743.0000,1.8291E-01
54744.0000,1.9884E-01
54745.0000,2.0617E-01
54746.0000,2.1605E-01
54747.0000,2.3128E-01
54748.0000,2.4740E-01
54749.0000,2.6673E-01
54750.0000,2.8905E-01
54751.0000,3.0779E-01
54752.0000,3.2521E-01
54753.0000,3.4331E-01
54754.0000,3.6583E-01
54755.0000,3.8816E-01
54756.0000,4.0801E-01
54757.0000,4.2742E-01
54758.0000,4.4618E-01
54759.0000,4.5920E-01
54760.0000,4.7352E-01
